area, url, browserDetection, cssprefixes, edge, jslibs, pluginfree
USA, http://pmang.com, 0, 1, 0, 0, 0
USA, http://blogmura.com, 0, 0, 1, 1, 1
USA, http://jal.co.jp, 0, 0, 1, 1, 1
USA, http://search.aol.com, 0, 1, 1, 1, 1
USA, http://mathxl.com, 1, 1, 1, 1, 1
USA, http://pandora.com, 1, 0, 1, 1, 1
USA, http://carview.co.jp, 1, 0, 1, 1, 1
USA, http://neopets.com, 1, 0, 0, 1, 1
USA, http://pchome.com.tw, 0, 0, 0, 1, 1
USA, http://donga.com, 1, 0, 0, 1, 1
USA, http://wow.com, 0, 1, 1, 1, 1
USA, http://indeed.com, 1, 1, 0, 1, 1
USA, http://weibo.com, 1, 1, 1, 1, 1
USA, http://omiga-plus.com, 0, 0, 1, 1, 1
USA, http://clkmon.com, 1, 1, 1, 1, 1
USA, http://weathernews.jp, 0, 1, 0, 0, 1
USA, http://click-sec.com, 1, 1, 1, 1, 1
USA, http://dell.com, 0, 0, 1, 0, 1
USA, http://mixi.jp, 1, 1, 0, 1, 1
USA, http://fc2.com, 0, 0, 1, 0, 1
USA, http://vk.com, 0, 1, 0, 1, 1
USA, http://royalbank.com, 1, 0, 1, 1, 1
USA, http://trovi.com, 1, 0, 1, 1, 1
USA, http://y001.sengokuixa.jp, 1, 1, 1, 0, 1
USA, http://prcm.jp, 1, 1, 1, 1, 1
USA, http://inclk.com, 1, 1, 1, 1, 1
USA, http://tankionline.com, 1, 1, 1, 1, 1
USA, http://search.seznam.cz, 0, 1, 1, 1, 1
USA, http://drudgereport.com, 1, 1, 0, 1, 1
USA, http://mywebsearch.com, 0, 1, 1, 1, 1
USA, http://scotiabank.com, 1, 1, 0, 0, 1
USA, http://doublepimp.com, 1, 0, 1, 1, 1
USA, http://salonboard.com, 1, 0, 1, 1, 1
USA, http://verizon.com, 1, 0, 0, 1, 1
USA, http://nexon.com, 1, 1, 1, 1, 1
USA, http://logmein.com, 0, 0, 1, 1, 1
USA, http://qvc.jp, 0, 1, 1, 0, 1
USA, http://adam4adam.com, 1, 0, 1, 1, 1
USA, http://cox.net, 1, 0, 1, 1, 1
USA, http://v9.com, 0, 1, 1, 1, 1
USA, http://barnesandnoble.com, 0, 1, 0, 1, 1
USA, http://battlefield.com, 1, 1, 0, 1, 1
USA, http://www2.leboncoin.fr, 0, 1, 1, 1, 1
USA, http://sweet-page.com, 0, 1, 1, 1, 1
USA, http://officeally.com, 0, 0, 1, 1, 1
USA, http://syosetu.org, 1, 1, 1, 1, 1
USA, http://subito.it, 1, 1, 1, 1, 1
USA, http://orange.fr, 1, 0, 1, 1, 1
USA, http://mapy.cz, 0, 1, 1, 1, 1
USA, http://himado.in, 1, 0, 1, 1, 1
USA, http://nosv.org, 1, 1, 1, 0, 1
USA, http://ancestry.com, 1, 0, 1, 1, 1
USA, http://point-ex.jp, 1, 0, 1, 1, 1
USA, http://infomart.co.jp, 1, 0, 1, 1, 1
USA, http://toyota.jp, 1, 1, 1, 0, 1
USA, http://ancestry.co.uk, 1, 0, 1, 1, 1
USA, http://mail.sapo.pt, 1, 1, 1, 1, 1
USA, http://wooribank.com, 1, 0, 0, 1, 1
USA, http://rambler.ru, 0, 1, 1, 1, 1
USA, http://sakura.ne.jp, 0, 0, 1, 0, 1
USA, http://plala.or.jp, 0, 0, 1, 0, 1
USA, http://nos.nl, 1, 1, 1, 0, 1
USA, http://pokec.azet.sk, 1, 0, 0, 1, 1
USA, http://bobaedream.co.kr, 1, 1, 0, 1, 1
USA, http://ask.com, 0, 1, 0, 1, 1
USA, http://say-move.org, 1, 0, 1, 1, 1
USA, http://fmworld.net, 1, 0, 1, 1, 1
USA, http://sogou.com, 0, 1, 1, 1, 1
USA, http://login.live.com, 1, 1, 1, 1, 1
USA, http://gazetevatan.com, 0, 1, 1, 1, 1
USA, http://shopch.jp, 0, 0, 1, 0, 1
USA, http://matome.naver.jp, 1, 1, 1, 1, 1
USA, http://milanuncios.com, 1, 1, 1, 1, 1
USA, http://meb.gov.tr, 0, 0, 1, 1, 1
USA, http://alipay.com, 1, 0, 0, 1, 1
USA, http://dmm.co.jp, 0, 0, 1, 1, 1
USA, http://mail.live.com, 1, 1, 1, 1, 1
USA, http://instagram.com, 0, 1, 1, 1, 1
USA, http://findagrave.com, 0, 1, 0, 0, 1
USA, http://silverdaddies.com, 1, 1, 0, 1, 1
USA, http://rakuten-card.co.jp, 1, 0, 1, 0, 1
USA, http://g.tsite.jp, 0, 0, 1, 0, 1
USA, http://legacy.com, 1, 1, 1, 1, 1
USA, http://usbank.com, 0, 1, 1, 1, 1
USA, http://cars.com, 1, 1, 1, 1, 1
USA, http://zone.msn.com, 0, 1, 0, 1, 1
USA, http://webssearches.com, 0, 1, 1, 1, 1
USA, http://adobe.com, 1, 1, 1, 0, 1
USA, http://apple.com, 0, 1, 0, 1, 1
USA, http://equideow.com, 0, 1, 1, 1, 1
USA, http://bet365.com, 1, 1, 0, 1, 1
USA, http://pbskids.org, 1, 0, 0, 1, 1
USA, http://meetme.com, 1, 0, 1, 1, 1
USA, http://cyworld.com, 0, 1, 1, 1, 1
USA, http://criteo.com, 0, 0, 1, 1, 1
USA, http://pigg.ameba.jp, 0, 1, 1, 1, 1
USA, http://yw.b-boys.jp, 0, 0, 1, 1, 1
USA, http://next.co.uk, 1, 1, 0, 1, 1
USA, http://1688.com, 1, 1, 1, 0, 1
USA, http://exoclick.com, 1, 0, 1, 1, 1
USA, http://fotostrana.ru, 1, 0, 1, 0, 1
USA, http://lumosity.com, 0, 1, 1, 1, 1
USA, http://quotev.com, 0, 1, 1, 1, 1
USA, http://bom.gov.au, 0, 1, 1, 1, 1
USA, http://kijiji.ca, 1, 1, 1, 1, 1
USA, http://syosetu.com, 1, 0, 0, 1, 1
USA, http://nicovideo.jp, 1, 0, 0, 0, 1
USA, http://pixiv.net, 0, 0, 1, 1, 1
USA, http://akaqa.com, 1, 1, 1, 0, 1
USA, http://ehow.com, 0, 1, 1, 0, 1
USA, http://java.com, 0, 0, 0, 1, 1
USA, http://email.seznam.cz, 1, 1, 1, 1, 1
USA, http://ana.co.jp, 0, 0, 0, 1, 1
USA, http://inbox.com, 0, 1, 1, 1, 1
USA, http://westpac.com.au, 0, 1, 1, 1, 1
USA, http://rajce.idnes.cz, 1, 1, 1, 1, 1
USA, http://yellowpages.com, 0, 1, 1, 1, 1
USA, http://careerbuilder.com, 0, 1, 1, 1, 1
USA, http://4shared.com, 0, 0, 1, 0, 1
USA, http://kabu.co.jp, 0, 1, 0, 1, 1
USA, http://mail.rambler.ru, 0, 1, 1, 1, 1
USA, http://maps.yandex.ru, 0, 1, 1, 1, 1
USA, http://fetlife.com, 1, 1, 1, 1, 1
